完整单词库 (共 6000 词)
============================================================

[   0] solar irradiance | 太阳辐照度 | 新能源 | 难度★★★
[   1] global horizontal irradiance | 全球水平辐照度 | 新能源 | 难度★★★★
[   2] direct normal irradiance | 法向直接辐照度 | 新能源 | 难度★★★★★
[   3] diffuse horizontal irradiance | 散射水平辐照度 | 新能源 | 难度★★★★
[   4] plane of array irradiance | 阵列平面辐照度 | 新能源 | 难度★★★★
[   5] clear sky index | 晴空指数 | 新能源 | 难度★★★★
[   6] sunshine duration | 日照时长 | 新能源 | 难度★★
[   7] peak sun hours | 峰值日照小时 | 新能源 | 难度★★★
[   8] solar constant | 太阳常数 | 新能源 | 难度★★★★
[   9] air mass | 大气质量 | 新能源 | 难度★★★★
[  10] spectral mismatch | 光谱失配 | 新能源 | 难度★★★★★
[  11] incidence angle modifier | 入射角修正系数 | 新能源 | 难度★★★★★
[  12] monocrystalline silicon | 单晶硅 | 新能源 | 难度★★
[  13] polycrystalline silicon | 多晶硅 | 新能源 | 难度★★
[  14] thin film solar cell | 薄膜太阳能电池 | 新能源 | 难度★★
[  15] amorphous silicon | 非晶硅 | 新能源 | 难度★★★
[  16] cadmium telluride | 碲化镉 | 新能源 | 难度★★★★
[  17] copper indium gallium selenide | 铜铟镓硒 | 新能源 | 难度★★★★★
[  18] bifacial module | 双面组件 | 新能源 | 难度★★★
[  19] half-cut cell | 半片电池 | 新能源 | 难度★★★
[  20] shingled module | 叠瓦组件 | 新能源 | 难度★★★★
[  21] multi-busbar | 多主栅 | 新能源 | 难度★★★
[  22] passivated emitter and rear cell | 钝化发射极背面电池 | 新能源 | 难度★★★★★
[  23] passivated emitter rear totally diffused | 全背面钝化发射极 | 新能源 | 难度★★★★★
[  24] interdigitated back contact | 交叉指式背接触 | 新能源 | 难度★★★★★
[  25] building integrated photovoltaics | 光伏建筑一体化 | 新能源 | 难度★★★
[  26] floating solar | 水上光伏 | 新能源 | 难度★★
[  27] agrivoltaics | 农光互补 | 新能源 | 难度★★★
[  28] carport solar | 光伏车棚 | 新能源 | 难度★★
[  29] solar tracking | 太阳跟踪 | 新能源 | 难度★★
[  30] single-axis tracker | 单轴跟踪器 | 新能源 | 难度★★★
[  31] dual-axis tracker | 双轴跟踪器 | 新能源 | 难度★★★★
[  32] backtracking | 反向跟踪 | 新能源 | 难度★★★★
[  33] albedo | 反照率 | 新能源 | 难度★★★
[  34] bifacial gain | 双面增益 | 新能源 | 难度★★★
[  35] irradiance sensor | 辐照度传感器 | 新能源 | 难度★★★
[  36] pyranometer | 总辐射表 | 新能源 | 难度★★★★
[  37] pyrheliometer | 直接辐射表 | 新能源 | 难度★★★★★
[  38] reference cell | 参考电池 | 新能源 | 难度★★★
[  39] soiling station | 积灰监测站 | 新能源 | 难度★★★★
[  40] meteorological mast | 气象塔 | 新能源 | 难度★★★
[  41] solar resource assessment | 太阳能资源评估 | 新能源 | 难度★★★
[  42] typical meteorological year | 典型气象年 | 新能源 | 难度★★★★★
[  43] probability of exceedance | 超发概率 | 新能源 | 难度★★★★
[  44] inverter load ratio | 逆变器负载比 | 新能源 | 难度★★★
[  45] clipping loss | 削峰损失 | 新能源 | 难度★★★
[  46] mismatch loss | 失配损失 | 新能源 | 难度★★★
[  47] wiring loss | 线损 | 新能源 | 难度★★
[  48] transformer loss | 变压器损耗 | 新能源 | 难度★★
[  49] availability loss | 可用率损失 | 新能源 | 难度★★★
[  50] solar degradation rate | 太阳能衰减率 | 新能源 | 难度★★★
[  51] power tolerance | 功率公差 | 新能源 | 难度★★
[  52] nameplate capacity | 标称容量 | 新能源 | 难度★
[  53] specific yield | 单位容量发电量 | 新能源 | 难度★★★
[  54] capacity factor | 容量因子 | 新能源 | 难度★★
[  55] performance ratio | 性能比 | 新能源 | 难度★★★
[  56] levelized cost of energy | 平准化度电成本 | 新能源 | 难度★★★
[  57] balance of system | 系统平衡部件 | 新能源 | 难度★★
[  58] engineering procurement construction | EPC总承包 | 新能源 | 难度★★
[  59] operation and maintenance | 运维 | 新能源 | 难度★
[  60] remote monitoring | 远程监控 | 新能源 | 难度★★
[  61] corrective maintenance | 纠正性维护 | 新能源 | 难度★★
[  62] preventive maintenance | 预防性维护 | 新能源 | 难度★★
[  63] thermographic inspection | 热成像检测 | 新能源 | 难度★★★★
[  64] electroluminescence imaging | 电致发光成像 | 新能源 | 难度★★★★★
[  65] string inverter | 组串式逆变器 | 新能源 | 难度★★
[  66] central inverter | 集中式逆变器 | 新能源 | 难度★★
[  67] microinverter | 微型逆变器 | 新能源 | 难度★★★
[  68] power optimizer | 功率优化器 | 新能源 | 难度★★★
[  69] maximum power point tracking | 最大功率点跟踪 | 新能源 | 难度★★★
[  70] anti-islanding protection | 防孤岛保护 | 新能源 | 难度★★★
[  71] grid support functions | 电网支撑功能 | 新能源 | 难度★★★
[  72] module-level power electronics | 组件级电力电子 | 新能源 | 难度★★★
[  73] rapid shutdown | 快速关断 | 新能源 | 难度★★★
[  74] arc fault circuit interrupter | 电弧故障断路器 | 新能源 | 难度★★★★
[  75] ground fault protection | 接地故障保护 | 新能源 | 难度★★★
[  76] surge protective device | 浪涌保护器 | 新能源 | 难度★★★
[  77] combiner box | 汇流箱 | 新能源 | 难度★★
[  78] recombiner | 二级汇流箱 | 新能源 | 难度★★★
[  79] DC disconnect | 直流隔离开关 | 新能源 | 难度★★
[  80] AC disconnect | 交流隔离开关 | 新能源 | 难度★★
[  81] horizontal axis wind turbine | 水平轴风力发电机 | 新能源 | 难度★★
[  82] vertical axis wind turbine | 垂直轴风力发电机 | 新能源 | 难度★★★
[  83] Darrieus turbine | 达里厄风力机 | 新能源 | 难度★★★★
[  84] Savonius turbine | 萨沃纽斯风力机 | 新能源 | 难度★★★★
