solar irradiance	太阳辐照度
global horizontal irradiance	全球水平辐照度
direct normal irradiance	法向直接辐照度
diffuse horizontal irradiance	散射水平辐照度
plane of array irradiance	阵列平面辐照度
clear sky index	晴空指数
sunshine duration	日照时长
peak sun hours	峰值日照小时
solar constant	太阳常数
air mass	大气质量
spectral mismatch	光谱失配
incidence angle modifier	入射角修正系数
monocrystalline silicon	单晶硅
polycrystalline silicon	多晶硅
thin film solar cell	薄膜太阳能电池
amorphous silicon	非晶硅
cadmium telluride	碲化镉
copper indium gallium selenide	铜铟镓硒
bifacial module	双面组件
half-cut cell	半片电池
shingled module	叠瓦组件
multi-busbar	多主栅
passivated emitter and rear cell	钝化发射极背面电池
passivated emitter rear totally diffused	全背面钝化发射极
interdigitated back contact	交叉指式背接触
building integrated photovoltaics	光伏建筑一体化
floating solar	水上光伏
agrivoltaics	农光互补
carport solar	光伏车棚
solar tracking	太阳跟踪
single-axis tracker	单轴跟踪器
dual-axis tracker	双轴跟踪器
backtracking	反向跟踪
albedo	反照率
bifacial gain	双面增益
irradiance sensor	辐照度传感器
pyranometer	总辐射表
pyrheliometer	直接辐射表
reference cell	参考电池
soiling station	积灰监测站
meteorological mast	气象塔
solar resource assessment	太阳能资源评估
typical meteorological year	典型气象年
probability of exceedance	超发概率
inverter load ratio	逆变器负载比
clipping loss	削峰损失
mismatch loss	失配损失
wiring loss	线损
transformer loss	变压器损耗
availability loss	可用率损失
solar degradation rate	太阳能衰减率
power tolerance	功率公差
nameplate capacity	标称容量
specific yield	单位容量发电量
capacity factor	容量因子
performance ratio	性能比
levelized cost of energy	平准化度电成本
balance of system	系统平衡部件
engineering procurement construction	EPC总承包
operation and maintenance	运维
remote monitoring	远程监控
corrective maintenance	纠正性维护
preventive maintenance	预防性维护
thermographic inspection	热成像检测
electroluminescence imaging	电致发光成像
string inverter	组串式逆变器
central inverter	集中式逆变器
microinverter	微型逆变器
power optimizer	功率优化器
maximum power point tracking	最大功率点跟踪
anti-islanding protection	防孤岛保护
grid support functions	电网支撑功能
module-level power electronics	组件级电力电子
rapid shutdown	快速关断
arc fault circuit interrupter	电弧故障断路器
ground fault protection	接地故障保护
surge protective device	浪涌保护器
combiner box	汇流箱
recombiner	二级汇流箱
DC disconnect	直流隔离开关
AC disconnect	交流隔离开关
horizontal axis wind turbine	水平轴风力发电机
vertical axis wind turbine	垂直轴风力发电机
Darrieus turbine	达里厄风力机
Savonius turbine	萨沃纽斯风力机
direct drive turbine	直驱风力机
geared turbine	齿轮箱风力机
hybrid drive turbine	半直驱风力机
doubly fed induction generator	双馈异步发电机
permanent magnet synchronous generator	永磁同步发电机
squirrel cage induction generator	鼠笼异步发电机
cut-in wind speed	切入风速
rated wind speed	额定风速
cut-out wind speed	切出风速
survival wind speed	极限生存风速
power curve	功率曲线
thrust curve	推力曲线
wind class	风区等级
turbulence intensity	湍流强度
rotor diameter	风轮直径
swept area	扫风面积
hub height	轮毂高度
specific power	单位扫风面积功率
power density	功率密度
annual energy production	年发电量
wake loss	尾流损失
blockage effect	阻塞效应
wind farm layout optimization	风场布局优化
nacelle	机舱
rotor hub	轮毂
pitch system	变桨系统
variable pitch	变桨距
fixed pitch	定桨距
stall regulation	失速调节
active stall	主动失速
gearbox	齿轮箱
planetary gearbox	行星齿轮箱
parallel shaft gearbox	平行轴齿轮箱
yaw system	偏航系统
wind vane	风向标
anemometer	风速计
ultrasonic anemometer	超声波风速计
LIDAR	激光雷达
SODAR	声雷达
wind resource assessment	风资源评估
wind atlas	风资源图谱
Weibull distribution	威布尔分布
wind rose	风玫瑰图
wind shear	风切变
wind shear exponent	风切变指数
low-level jet	低空急流
wind gust	阵风
extreme wind speed	极端风速
turbulence	湍流
wind turbine noise	风机噪声
amplitude modulation	幅度调制
infrasound	次声
shadow flicker	光影闪烁
setback distance	退距
radar interference	雷达干扰
aviation lighting	航空警示灯
bird collision	鸟类碰撞
bat mortality	蝙蝠死亡
marine spatial planning	海洋空间规划
offshore substation	海上升压站
transition piece	过渡段
monopile foundation	单桩基础
jacket foundation	导管架基础
gravity base foundation	重力式基础
suction bucket foundation	吸力桶基础
floating foundation	浮式基础
spar buoy	柱式浮标
semi-submersible platform	半潜式平台
tension leg platform	张力腿平台
mooring system	系泊系统
dynamic cable	动态电缆
scour protection	冲刷防护
corrosion protection	腐蚀防护
sacrificial anode	牺牲阳极
impressed current cathodic protection	外加电流阴极保护
marine growth	海生物附着
crew transfer vessel	人员转运船
service operation vessel	服务运维船
helicopter access	直升机登乘
boat landing	登靠平台
lithium iron phosphate	磷酸铁锂
nickel manganese cobalt	镍钴锰三元
nickel cobalt aluminum	镍钴铝三元
lithium titanate	钛酸锂
lithium manganese oxide	锰酸锂
solid state battery	固态电池
sodium ion battery	钠离子电池
flow battery	液流电池
vanadium redox flow battery	全钒液流电池
zinc bromine flow battery	锌溴液流电池
iron chromium flow battery	铁铬液流电池
lead acid battery	铅酸电池
advanced lead acid	先进铅酸
nickel cadmium battery	镍镉电池
nickel metal hydride battery	镍氢电池
compressed air energy storage	压缩空气储能
adiabatic CAES	绝热压缩空气储能
liquid air energy storage	液态空气储能
pumped hydro storage	抽水蓄能
flywheel energy storage	飞轮储能
superconducting magnetic energy storage	超导磁储能
supercapacitor	超级电容器
hybrid energy storage system	混合储能系统
battery cell	电芯
battery module	电池模组
battery pack	电池包
battery rack	电池架
battery container	电池集装箱
state of charge	荷电状态
state of health	健康状态
state of power	功率状态
depth of discharge	放电深度
cycle life	循环寿命
calendar life	日历寿命
solid electrolyte interphase	固体电解质界面膜
capacity fade	容量衰减
internal resistance	内阻
self-discharge	自放电
coulombic efficiency	库仑效率
voltage hysteresis	电压滞后
open circuit voltage	开路电压
cutoff voltage	截止电压
nominal voltage	标称电压
C-rate	充放电倍率
energy density	能量密度
power density	功率密度
specific energy	比能量
specific power	比功率
round-trip efficiency	往返效率
energy capacity	能量容量
power rating	功率等级
duration	持续放电时间
energy-to-power ratio	能量功率比
long-duration energy storage	长时储能
grid-forming inverter	构网型逆变器
grid-following inverter	跟网型逆变器
black start capability	黑启动能力
peak shaving	削峰
load shifting	负荷转移
frequency regulation	频率调节
voltage support	电压支撑
spinning reserve	旋转备用
non-spinning reserve	非旋转备用
demand response	需求响应
virtual power plant	虚拟电厂
behind-the-meter storage	表后储能
front-of-meter storage	表前储能
community storage	社区储能
co-located storage	共址储能
standalone storage	独立储能
stacked revenue	叠加收益
thermal energy storage	热能存储
molten salt storage	熔盐储能
phase change material	相变材料
hydrogen energy storage	氢储能
power-to-gas	电转气
power-to-liquid	电转液
cold storage	蓄冷
ice storage	冰蓄冷
polysilicon	多晶硅原料
Siemens process	西门子法
fluidized bed reactor	流化床反应器
metallurgical grade silicon	冶金级硅
Czochralski process	直拉法
directional solidification	定向凝固
wafer slicing	硅片切割
kerf loss	锯缝损失
surface texturing	表面制绒
alkaline etching	碱刻蚀
acid texturing	酸制绒
diffusion process	扩散工艺
phosphorus oxychloride	三氯氧磷
boron diffusion	硼扩散
anti-reflection coating	减反射膜
plasma enhanced chemical vapor deposition	等离子增强化学气相沉积
screen printing	丝网印刷
sintering	烧结
laser doping	激光掺杂
edge isolation	边缘隔离
tabbing	焊接互联条
stringing	串焊
layup	层叠
encapsulant	封装胶膜
polyolefin elastomer	聚烯烃弹性体
backsheet	背板
tempered glass	钢化玻璃
anti-reflective glass	减反射玻璃
lamination	层压
junction box	接线盒
bypass diode	旁路二极管
MC4 connector	MC4连接器
potential induced degradation	电势诱导衰减
light induced degradation	光致衰减
light and elevated temperature induced degradation	光热衰减
hot spot	热斑
snail trail	蜗牛纹
microcrack	隐裂
cell crack	电池片碎裂
mounting structure	支架结构
ground mount	地面支架
rooftop mount	屋顶支架
ballasted mount	压载支架
penetrating mount	穿透式支架
tilt angle	倾斜角
azimuth angle	方位角
row spacing	行间距
ground coverage ratio	地面覆盖率
pile foundation	桩基础
rammed pile	锤击桩
helical pile	螺旋桩
concrete foundation	混凝土基础
cable trench	电缆沟
cable tray	电缆桥架
conduit	导管
string monitoring	组串监测
IV curve tracing	IV曲线扫描
portable IV tracer	便携式IV测试仪
electroluminescence	电致发光
thermal imaging	热成像
drone inspection	无人机巡检
vegetation management	植被管理
module cleaning	组件清洗
robotic cleaning	机器人清洗
semi-automatic cleaning	半自动清洗
manual cleaning	人工清洗
waterless cleaning	无水清洗
anti-soiling coating	防污涂层
green hydrogen	绿氢
blue hydrogen	蓝氢
grey hydrogen	灰氢
pink hydrogen	粉氢
turquoise hydrogen	青氢
steam methane reforming	蒸汽甲烷重整
autothermal reforming	自热重整
partial oxidation	部分氧化
water gas shift reaction	水煤气变换反应
pressure swing adsorption	变压吸附
proton exchange membrane electrolyzer	质子交换膜电解槽
alkaline electrolyzer	碱性电解槽
solid oxide electrolyzer	固体氧化物电解槽
anion exchange membrane electrolyzer	阴离子交换膜电解槽
electrolyzer stack	电解槽堆
membrane electrode assembly	膜电极组件
catalyst coated membrane	催化涂层膜
gas diffusion layer	气体扩散层
bipolar plate	双极板
current collector	集流体
hydrogen storage	氢储存
compressed gaseous hydrogen	压缩气态氢
liquid hydrogen	液氢
metal hydride storage	金属氢化物储氢
liquid organic hydrogen carrier	液态有机氢载体
ammonia as hydrogen carrier	氨作为氢载体
hydrogen refueling station	加氢站
fuel cell electric vehicle	燃料电池电动车
proton exchange membrane fuel cell	质子交换膜燃料电池
solid oxide fuel cell	固体氧化物燃料电池
molten carbonate fuel cell	熔融碳酸盐燃料电池
phosphoric acid fuel cell	磷酸燃料电池
alkaline fuel cell	碱性燃料电池
direct methanol fuel cell	直接甲醇燃料电池
fuel cell stack	燃料电池堆
carbon emission	碳排放
carbon neutral	碳中和
net zero	净零排放
carbon peak	碳达峰
carbon footprint	碳足迹
carbon credit	碳信用
carbon offset	碳抵消
carbon market	碳市场
emission trading system	排放权交易体系
carbon tax	碳税
cap and trade	限额交易
carbon allowance	碳排放配额
voluntary carbon market	自愿碳市场
compliance carbon market	合规碳市场
carbon pricing	碳定价
internal carbon price	内部碳定价
shadow carbon price	影子碳价
carbon leakage	碳泄漏
carbon border adjustment	碳边境调节
greenhouse gas protocol	温室气体核算体系
scope 1 emission	范围一排放
scope 2 emission	范围二排放
scope 3 emission	范围三排放
emission factor	排放因子
CO2 equivalent	二氧化碳当量
global warming potential	全球变暖潜势
science based target	科学碳目标
renewable energy certificate	可再生能源证书
power purchase agreement	购电协议
virtual power purchase agreement	虚拟购电协议
environmental social governance	环境社会治理
sustainability report	可持续发展报告
Task Force on Climate-related Financial Disclosures	气候相关财务披露工作组
climate risk assessment	气候风险评估
physical risk	物理风险
transition risk	转型风险
stranded asset	搁浅资产
just transition	公正转型
circular economy	循环经济
life cycle assessment	生命周期评估
cradle to gate	摇篮到大门
cradle to grave	摇篮到坟墓
embodied carbon	隐含碳
operational carbon	运营碳排放
carbon capture and storage	碳捕集与封存
carbon capture utilization and storage	碳捕集利用与封存
direct air capture	直接空气捕集
bioenergy with carbon capture and storage	生物能源碳捕集封存
carbon sink	碳汇
carbon sequestration	碳封存
afforestation	植树造林
reforestation	重新造林
electric vehicle	电动汽车
battery electric vehicle	纯电动汽车
plug-in hybrid electric vehicle	插电式混合动力汽车
hybrid electric vehicle	混合动力汽车
range anxiety	续航焦虑
charging station	充电站
charging pile	充电桩
AC charging	交流充电
DC fast charging	直流快充
ultra-fast charging	超快充
vehicle-to-grid	车网互动
vehicle-to-home	车家互动
vehicle-to-load	车对负载
battery swapping	换电
charging connector	充电接口
CCS connector	联合充电系统接口
CHAdeMO connector	CHAdeMO接口
GB/T connector	GB/T国标接口
Tesla connector	特斯拉接口
charging network	充电网络
smart charging	智能充电
managed charging	管理充电
bidirectional charging	双向充电
onboard charger	车载充电机
charging protocol	充电协议
ISO 15118	ISO 15118标准
open charge point protocol	开放充电点协议
open smart charging protocol	开放智能充电协议
charging management system	充电管理系统
roaming agreement	漫游协议
e-mobility service provider	出行服务提供商
charge point operator	充电点运营商
well-to-wheel efficiency	油井到车轮效率
tank-to-wheel efficiency	油箱到车轮效率
energy system	energy system
energy plant	energy plant
energy facility	energy facility
energy project	energy project
energy installation	energy installation
energy array	energy array
energy farm	energy farm
energy park	energy park
energy station	energy station
energy generator	energy generator
energy unit	energy unit
energy module	energy module
energy solution	energy solution
energy technology	energy technology
energy application	energy application
energy deployment	energy deployment
energy development	energy development
energy infrastructure	energy infrastructure
energy network	energy network
energy grid	energy grid
energy market	energy market
power system	power system
power plant	power plant
power facility	power facility
power project	power project
power installation	power installation
power array	power array
power farm	power farm
power park	power park
power station	power station
power generator	power generator
power unit	power unit
power module	power module
power solution	power solution
power technology	power technology
power application	power application
power deployment	power deployment
power development	power development
power infrastructure	power infrastructure
power network	power network
power grid	power grid
power market	power market
solar system	solar system
solar plant	solar plant
solar facility	solar facility
solar project	solar project
solar installation	solar installation
solar array	solar array
solar farm	solar farm
solar park	solar park
solar station	solar station
solar generator	solar generator
solar unit	solar unit
solar module	solar module
solar solution	solar solution
solar technology	solar technology
solar application	solar application
solar deployment	solar deployment
solar development	solar development
solar infrastructure	solar infrastructure
solar network	solar network
solar grid	solar grid
solar market	solar market
photovoltaic system	photovoltaic system
photovoltaic plant	photovoltaic plant
photovoltaic facility	photovoltaic facility
photovoltaic project	photovoltaic project
photovoltaic installation	photovoltaic installation
photovoltaic array	photovoltaic array
photovoltaic farm	photovoltaic farm
photovoltaic park	photovoltaic park
photovoltaic station	photovoltaic station
photovoltaic generator	photovoltaic generator
photovoltaic unit	photovoltaic unit
photovoltaic module	photovoltaic module
photovoltaic solution	photovoltaic solution
photovoltaic technology	photovoltaic technology
photovoltaic application	photovoltaic application
photovoltaic deployment	photovoltaic deployment
photovoltaic development	photovoltaic development
photovoltaic infrastructure	photovoltaic infrastructure
photovoltaic network	photovoltaic network
photovoltaic grid	photovoltaic grid
photovoltaic market	photovoltaic market
wind system	wind system
wind plant	wind plant
wind facility	wind facility
wind project	wind project
wind installation	wind installation
wind array	wind array
wind farm	wind farm
wind park	wind park
wind station	wind station
wind generator	wind generator
wind unit	wind unit
wind module	wind module
wind solution	wind solution
wind technology	wind technology
wind application	wind application
wind deployment	wind deployment
wind development	wind development
wind infrastructure	wind infrastructure
wind network	wind network
wind grid	wind grid
wind market	wind market
renewable system	renewable system
renewable plant	renewable plant
renewable facility	renewable facility
renewable project	renewable project
renewable installation	renewable installation
renewable array	renewable array
renewable farm	renewable farm
renewable park	renewable park
renewable station	renewable station
renewable generator	renewable generator
renewable unit	renewable unit
renewable module	renewable module
renewable solution	renewable solution
renewable technology	renewable technology
renewable application	renewable application
renewable deployment	renewable deployment
renewable development	renewable development
renewable infrastructure	renewable infrastructure
renewable network	renewable network
renewable grid	renewable grid
renewable market	renewable market
sustainable system	sustainable system
sustainable plant	sustainable plant
sustainable facility	sustainable facility
sustainable project	sustainable project
sustainable installation	sustainable installation
sustainable array	sustainable array
sustainable farm	sustainable farm
sustainable park	sustainable park
sustainable station	sustainable station
sustainable generator	sustainable generator
sustainable unit	sustainable unit
sustainable module	sustainable module
sustainable solution	sustainable solution
sustainable technology	sustainable technology
sustainable application	sustainable application
sustainable deployment	sustainable deployment
sustainable development	sustainable development
sustainable infrastructure	sustainable infrastructure
sustainable network	sustainable network
sustainable grid	sustainable grid
sustainable market	sustainable market
green system	green system
green plant	green plant
green facility	green facility
green project	green project
green installation	green installation
green array	green array
green farm	green farm
green park	green park
green station	green station
green generator	green generator
green unit	green unit
green module	green module
green solution	green solution
green technology	green technology
green application	green application
green deployment	green deployment
green development	green development
green infrastructure	green infrastructure
green network	green network
green grid	green grid
green market	green market
clean system	clean system
clean plant	clean plant
clean facility	clean facility
clean project	clean project
clean installation	clean installation
clean array	clean array
clean farm	clean farm
clean park	clean park
clean station	clean station
clean generator	clean generator
clean unit	clean unit
clean module	clean module
clean solution	clean solution
clean technology	clean technology
clean application	clean application
clean deployment	clean deployment
